country,group_name,title,content,image,video
korea,black pink,jisoo新歌,是YG娛樂於2016年推出的韓國女子音樂組合，也是繼2009年2NE1後該經紀公司時隔7年再次推出的女子組合，由Jisoo、Jennie、Rosé、Lisa所組成,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSy9XoQSrNFCGECI1BSVMdPtkAQ_jMeryi1PA&usqp=CAU,all_eyes_on_me.mp4
korea,ive,ive新歌,IVE是由韓國STARSHIP娛樂於2021年推出的六人女子音樂組合。成員包括Gaeul、Yujin、Rei、Wonyoung、Liz和Leeseo，並由安兪真擔任隊長,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfNjXcabnbHWkc8_B_LvY2mMC9tWTvbPLd7g&usqp=CAU,i_am.mp4
